pinyin,counts,zi
m̀5,1,呣
m̄5,1,嘸
n5,1,唵
na1,2,南那
na2,24,䏧䛔䫱呶嗱拏拿挐秅蒘訤詉誽鎿镎𡰀𢜲𣸏𤓷𤔀𦬻𧘽𧤣𧦮
na3,11,䋈乸哪那郍雫𢡏𣡰𥑒𦙜𪐀
na4,79,㗙㨥㪎㮏㵊䇱䈫䋾䎎䏧䖓䖧䟜䪏内吶呐哪妠娜抐捺淰笚笝箬納絮纳肭蒳衲袦豽貀蹃軜那鈉钠靹魶𠕄𠱲𠴾𡤙𡷝𢇵𢓇𣅚𣹵𤝒𤡤𤬷𤭠𤱅𤱆𤷈𤸏𤸻𥍲𥹉𥿃𦛐𦣀𦰡𦳐𧋡𧰹𨙻𨚗𩏼𩚛𩟿𩮅𩮸𩹾𪌅𪗝
na5,2,呐哪
nai2,14,㜨㾍䍲䘅䯮孻掜搱摨熋能腉螚𪌞
nai3,19,乃倷哪奶妳嬭廼氖疓艿迺那釢𠧟𠧤𢉓𦠸𦶅𨎡
nai4,28,㮈㮏㲡㴎佴奈柰渿耏耐能萘螚褦錼鼐𡞫𡨵𡮙𣉘𣮦𥄗𥉃𦓎𦔹𦳐𨒨𩹟
nan1,2,囝囡
nan2,35,㓓㽖䔜䛁䶲侽冉南喃娚弇抩暔枏柟楠男畘莮萳諵遖难難𢪈𤌔𤱣𤽲𦶈𧇙𧕴𨴌𨴘𨵴𩹞
nan3,25,㫱䈒䊖䣸䩅喃嫨戁揇湳煵罱腩萳蝻赧𡆤𡆱𡆲𦝧𧹞𨠹𨦳𩈑𩈶
nan4,15,㫱㬮䣸妠婻攤灘諵难難𢬷𤿏𦍀𦛚𩅠
nang1,3,囊囔蘘
nang2,18,䁸乪噥嚢囊憹搑欜涳蠰譨饢馕鬞𦗳𦣘𧖒𩛡
nang3,11,㶞搑擃攮曩瀼灢饢馕𣰶𩜒
nang4,11,㚂儾鬞齉𠶬𡿝𢖧𦈃𧅺𧟘𨳆
nang5,1,囔
nao1,1,孬
nao2,45,㞪㺀䃩䛝䴃呶夒峱嶩巎巙怓憹挠摎撓橈猱獶獿硇碙蛲蝚蟯詉譊鐃铙𡽧𡾂𢙐𢜸𢪼𣳦𤞍𤡤𤫕𥐻𥑪𧴓𨥸𩖯𩫔𫍢
nao3,46,㑎㛴㺁㺒䐉䜀䜧匘垴堖嫐恼悩惱憹獶獿瑙碯脑脳腦膠𠊦𠡷𡍍𡿺𢅈𢉵𣭺𤊲𤋫𤷻𥀮𥒢𦗮𧩣𧳀𧳦𧴙𨱵𩛋𩤘𩩀𩫺𩬷
nao4,14,婥淖澆腝腦臑鐃閙闹鬧𣧽𥆲𩋈𩯆
ne2,2,哪那
ne4,15,㕯䅞䎪䭆呐抐疒疔眲訥讷那𢗉𣧍𧤜
ne5,2,呐呢
nei2,5,𠑚𠑛𡣢𢅼𨡌
nei3,17,㼏䲎哪娞婑浽脮腇那餒餧馁鮾鯘𥡭𩗔𩛞
nei4,11,㐻㨅內内氝那錗𢁩𢛉𣓃𩬀
nen4,13,㜛㯎㶧媆嫩嫰恁枘腝臑𡞾𧮠𨈗
neng2,8,㴰䏻竜而耐能𢆂𨃳
neng3,3,螚𠹌𨶙
neng4,1,㲌
ng5,1,唵
ni1,2,呢妮
ni2,61,㞾㪒㹸䘦䘽䛏䝚倪兒呢坭埿妮婗尼屔彌怩抳棿泥淣猊秜籾聣腝臡蚭蛪蜺觬貎跜輗郳鈮铌霓鯢鲵麑齯𠆵𠒰𠽬𡎿𣢞𣭙𤦤𦤽𦦃𨋗𩚯𩩢𩱄𩸦𩸧𩾆𫐐𫠜
ni3,63,㘈㩘䕥䘦䛏䦵伱伲你儗儞呢妳婗孴尼懝抳拟掜擬旎昵晲柅檷泥濔瀰爾狔祢禰聻苨薿譺鈮鉨鑈隬馜鿭𡥦𡥨𢅟𢘝𢣚𣡋𤙌𥜦𥜬𥷄𦆦𦰫𧃩𨀀𩉹𩋪𩍦𩯨𩰞𪏸
ni4,77,㠜㥾㦐㮏㲻㵫䁥䘌䛏䵑䵒伲倪匿埿堄嫟嬭嬺孨孴屰嶷惄愵慝懝抐昵暱氼泥溺濘灄痆眤睨秜縌胒腻膩誽迡逆𠱘𠸺𡎳𡞭𡣁𡫸𡬗𢚮𢛜𢦱𣘗𣲷𥄽𥇄𥺜𦮾𧈞𧏾𧖷𧵼𧺰𨒫𨺙𨽦𩈢𩚮𩺝𩺱𪏵𪐌𪙛
nia1,1,㖸
nian1,4,拈捻蔫𥺴
nian2,23,䄭䄹䬯䴴哖姩年溓秊秥粘鮎鯰鲇鲶鵇黏𠫺𠬋𦷙𨚶𩽴𪐇
nian3,42,㜤㞋㮟䚓拈捵捻撚撵攆涊淰焾痆碾簐趁跈蹍蹨躎輦輾辇辗𠕟𠗋𠣇𡰫𣐏𤁥𦭁𧹞𨀀𨇍𨋚𨏛𨴞𨸱𩉄𩊫𪑮
nian4,16,㲽䧔卄唸埝姩廿念榐艌𡝟𣎔𤽿𥮘𦁇𨢯
niang2,5,娘嬢孃酿釀
niang3,1,𪓃
niang4,5,䖆酿醸釀𥽬
niao3,37,㒟㜵㠡㭤䃵䙚䦊䮍嫋嬝嬲尥樢茑茮蔦袅裊褭鳥鸟𠒰𡘏𡝋𡝒𡠿𢶑𢸣𣟊𤲶𥤂𥾇𨽖𩖔𩭑𪅝𪈼
niao4,6,㞙㳮尿溺脲𨳀
nie1,3,捏捻揑
nie2,5,㡪苶𢫻𦡃𪌿
nie3,2,鉨𠈊
nie4,155,㖏㖕㖖㘝㘨㘿㙞㚔㜸㩶㮆㴪㸎䂼䄒䇣䌜䌰䜆䡾䭃䯀䯅䯵䳖乜倪哪啮喦嗫噛嚙囁囐囓囡圼埝孼孽峊嵒嵲嶭巕帇幸惗掜摰攝敜枿棿槷櫱泥涅湼痆篞籋糱糵聂聶臬臲苶菍蘖蠥褹諗讘踂踗踙蹑躡鉩銸鋷錜鎳鑈鑷钀镊镍闑陧隉顳颞齧𠶿𡆣𡇄𡍤𡰆𡴎𡶫𡸣𡾦𡾲𡿖𡿗𢈸𢬴𣀳𣌍𣙗𣯭𣰼𤭂𤴘𤶚𤷈𤸏𤺐𥔄𥬞𥬬𥭙𥮤𦄌𦈙𦘒𦛠𦞆𦣀𦯖𦵐𧁈𧋖𧞍𧻼𨊞𨙓𨱺𨲀𨶠𨻄𩋏𩐭𩒕𩖁𩣘𪌊𪎃𪎅𪘎𫔶
nin2,8,㤛䋻䚾䛘囜恁您𠽝
nin3,1,拰
nin5,1,脌
ning2,48,㝕㲰䆨䗿䭢儜冰凝咛嚀嬣宁寍寕寗寜寧拧擰攘柠檸濘狞獰甯疑聍聹苧薴鑏鬡鬤鸋𡫃𡷪𣍆𤕦𤹧𤻝𥣗𥧤𦡼𧃱𧕝𧭈𫛢
ning3,9,䗿拧擰橣矃鑏𥳥𦡲𩕳
ning4,19,㣷㿦䔭佞侫倿宁寧年拧擰泞泥澝濘甯𧍖𧑗𧭈
niu1,1,妞
niu2,10,㖻㽱䒜怓汼牛牜𨷁𩲍𩵠
niu3,28,㺲䂇䏔忸扭杻沑炄狃紐纽莥鈕钮靵𢔟𣅚𣧊𣲶𥀝𥍳𥝦𧘥𨋀𨙺𨳞𩈇𪏲
niu4,7,䋴抝拗蚴𩙷𩚖𩜷
nong2,36,㶶㺜䢉侬儂农哝噥憹檂欁浓濃燶癑禯秾穠脓膿莀蕽襛農辳醲𥂒𨑊𨠤𨲳𩅽𩇔𩟊𪆯𪒬𬪩
nong3,3,䁸䵜繷
nong4,8,咔弄挊挵癑齈𠌚𠘊
nou2,14,㝹䨲羺譨𠲴𢉕𣻖𤟦𥀫𧂦𧃨𧅘𩆟𩒔
nou3,6,㜌㳶啂𡝦𡨻𡭾
nou4,15,䅶䘫䰭嬬搙擩槈檽獳耨譳鎒鐞𢉚𪋺
nu2,13,㚢仅奴孥帑挐砮笯駑驽𥤨𥱂𧗈
nu3,13,伮努呶弩擩砮胬𠴂𢪦𢫓𥅄𧉭𪺹
nu4,11,㣽傉怒搙肭褥詉𢫭𥛑𧪅𧿔
nuan2,3,奻渜濡
nuan3,10,㬉䙇暖暧渜湪煖煗臑餪
nuan4,2,餪𪋐
nun2,1,黁
nun4,1,媆
nuo2,26,㑚㔮㰙傩儺哪娜挪掉梛橠那郍難𠹈𡖔𡖫𡬥𡿊𢰜𤘟𦡃𦩜𨁌𨎭𩴓
nuo3,11,㛂㡅媠橠袲袳𡖔𣃽𣆚𩈺𩷁
nuo4,42,㐡㖠䇔䎠䚥呐喏堧愞懦懧掿搙搦搻榒毭濡稬穤糑糥糯耎諾诺蹃逽那鍩锘需𠸱𢜪𢾲𥑽𥻾𦀨𦂍𦓢𧣚𧣺
nv2,1,𦓕
nv3,5,女籹胬釹钕
nv4,20,㵖䏔䖡䘐䚼䶊女恧朒沑狃絮聏衂衄𥄋𥍞𦓖𧖷𩈢
nüe4,10,䖈䖋䨋婩疟瘧硸虐𤷡𨵫
o1,2,喔噢
o2,1,哦
o3,1,嚄
o4,2,哦喔
o5,2,喔筽
ou1,47,䉱䌔䙔䥲䧢区區吽嘔塸慪摳敺樞櫙欧歐殴毆沤漚熰瓯甌紆膒蓲藲謳讴醧鏂鴎鷗鸥𠢔𠥝𡂿𡈆𡩾𣂻𤛐𥈬𥱸𩔸𫭟𬉼
ou2,4,膒齵𦂕𪙃
ou3,27,㒖㰶㸸㼴偶吘呕嘔歐澫甌耦腢蕅藕遇𠙶𠥝𠴰𣢨𤵎𥐂𥧆𥻑𧖼𧪓𪊪
ou4,18,㭝䌂呕嘔怄慪握沤渥漚熰𣉾𣓕𣽕𤁮𧏺𩀫𩥋
ou5,2,嘔𡂿
pa1,26,㕷㞎䔤䯲叭吧啪妑帊汃派皅舥芭苩葩趴𣧜𣱺𤆵𤽉𥐙𦐆𧣃𨋐𩈆
pa2,15,扒把掱杷潖爬琶筢耙跁鈀钯𣚒𧑡𧣣
pa3,1,𥩙
pa4,6,帊帕怕汃袙𪗔
pai1,4,拍𣖐𦫖𩛇
pai2,19,䱝俳啡徘排棑椑牌犤猅箄簰簲脾輫𣝁𥱼𥴖𦩯
pai3,3,廹排迫
pai4,19,㭛㵒㵺䖰哌派渒湃蒎鎃𠂢𠸁𣏟𣲖𣴪𥯟𥿯𦔠𧵠
pan1,22,㐴㢖㽃䆺乑姍扳拌攀潘畨番眅籓萠賁𢬵𢲔𤄜𤺏𥈼𥕿
pan2,58,䃑䃲䈲䩔䰉䰔卞媻審幋弁彦搫柈槃洀湴潘瀊瀋爿番皤盘盤磐磻縏繁胖膰般蒰螌蟠褩跘踫蹒蹣鄱鎜鞶𠽲𣁦𣔚𤖭𤠍𤻷𥈼𥉟𦪹𨂝𨃞𨃟𪄀𪒀𪒋
pan3,4,坢盻闆𧺾
pan4,35,䏒伴冸判半叛坢拚柈沜泮溿潘炍片牉畔番盼眫聁胖袢襻詊鋬鑻頖鵥𡞟𢰿𤄧𥌊𦙀𨒃
pang1,25,䏺䨦乓汸沗滂牓磅肨胮膀膖鎊雱霶𠗵𠦲𣂆𤵸𦣂𧿆𩅅𩐨𪐿𪔔
pang2,41,㥬㫄䅭䠙仿傍厐厖夆嫎尨庞彭彷徬房方旁榜磅篣膀舽蒡螃蠭趽逄逢雱髈鰟鳑龎龐𡅃𢐊𤧭𧔧𨜷𩃎
pang3,6,䒍嗙耪膀覫髈
pang4,7,㕩炐肨胖𥪴𦜍𩈈
pao1,18,㯱㲏䫽抛抱拋摽泡穮脟脬萢藨鮑𢿏𣟏𦔩𩆘
pao2,43,㚿㯡䛌䩝刨包匏咆垉庖泡炮炰爮狍瓟胞苞蚫袌袍褜謈趵跑軳鉋鞄颮麃麅𡂘𡯈𡾌𣮃𤔉𥶔𧙌𩎘𩎾𩐜𩗥𪊳
pao3,3,跑𢾳𦐸
pao4,26,㘐㯡䶌嚗奅泡炮犥疱皰砲礟礮窌胞袌麭𠣳𡧙𣕅𣚇𣶐𦠖𨋛𨣙𩂞
pei1,19,㚰㾦䯱呸啡垺妚怌抷柸肧胚衃醅𤬃𥹂𦙂𩎜𩵣
pei2,32,㟝㯁䏽䣙䪹䫊倍坏培婄掊棓毰裴裵賠赔錇锫阫陪陫駍𣬆𣯱𤗏𦸪𧳏𧴥𨓿𨛬𩑢
pei3,3,俖琣𣍺
pei4,44,㤄㧩㳈㾦䊃䟺䩛伂佩啡妃姵嶏帔攈斾旆昢柭棑沛浿淠犻珮肺艴茇茷蓜蜚轡辔配霈馷𢁖𢘀𢥐𤜲𥄔𨙶𩖭𬇙
pen1,6,㖹喷噴歕濆𠽾
pen2,8,汾湓瓫盆葐衯𡺜𪂽
pen3,2,呠翸
pen4,7,吩喯喷噴湓𠺔𩸂
peng1,50,㛁㠮㥊㧸䍬䥋䦕亨匉嘭堋弸彭怦恲抨旁梈泙洴滂漰澎烹砰硑硼磞絣胓苹荓軯輧逬閛駍𡼜𢏳𢼩𢽩𤘾𥕱𦚝𦯰𨑎𨠟𨺀𩱀𩱋
peng2,75,㛔㥊㱶䄘䡫䧛䰃䴶倗傍傰堋塜塳庄弸彭憉挷搒朋棚椖榜槰樥淜漨澎熢痭硼稝竼篣篷纄膨芃莑蓬蘕蟚蟛輣逢錋鑝韸韼騯髼鬅鬔鵬鹏𡂫𤡭𥕱𦪪𧌇𧚋𧴂𨂃𨍩𨎧𨎳𨲰𩄦𩐛𩖛𩡕𩮗𪔍𪔔
peng3,10,䣙倗剻捧摓淎皏𡗗𢪋𣨞
peng4,15,㼞䰃掽椪砰碰膨蓬踫閛𣟀𤖳𥕽𨅘𩸀
pi1,90,㨢㱟䇑䤵䪹䫠䯱丕伓伾劈噼坏坯培妚帔怶悂憵批披抷旇枇枈炋狉狓痦砒磇礔礕秛秠粃紕纰翍耚苤螕被豾辟邳釽鈈鈚鈹鉟銔錃錍鎞铍闢霹駓髬魾鮍𠜱𠡄𠹦𡛡𡲮𢓖𢞗𢱧𢻹𢾱𣢋𣬮𣬼𤬭𤱍𤿎𤿐𦀘𧙁𧧺𧪫𨤽𨧦𩣚𪄆𪉔𬳵
pi2,109,㓟㔥㮰㯅㼰䲹䴽仳卑啤埤壀奊媲岯崥庇庳批朇枇椑比毗毘毞焷狓猈琵番疲皮笓篦篺紕罴罷羆肶脾腗膍芘蕃蚌蚍蚽蚾蜱螷蠯裨豼貔郫鄱鈹錍铍阰陂陴隦鞞頗魮魾鮍鲏鵧鼙𠨸𠵬𡦟𡶌𢇳𢰘𣓋𣔬𣖰𣪉𣬉𤘢𤘹𤜻𤷒𤼜𤿙𥤻𥯡𦃋𦊁𦨭𦳈𦹽𧑜𧓎𧲺𧳼𧴉𨈚𨻀𩗫𩫫𪄆𪊕𪌈
pi3,42,㱟䑀䚰䚹䤏䫌䰦仳劈匹吡否噽嚭圮嶏庀庇悂擗比疋痞癖脴苉諀銢鴄𡊝𡛘𡺮𤴣𤿇𥀘𥔁𦘩𦘲𦰽𨑜𨲐𩔙
pi4,68,㨽㳪㵨㽬㿙䏘䑀䑄䠘䡟䤨䦼䴙俾僻副嚊埤媲嫓屁扑拂揊淠潎澼濞甓疈睥稫罷脾萆薜被譬辟釽鈲闢鷿鸊𠪮𠯔𠯭𢾇𣴪𣹚𣹮𤂃𤖿𤘤𤚪𥱼𦤢𧾑𨐴𨵡𨵩𨸆𨺤𩜰𪇊𪖞𪛎
pian1,17,㓲㾫偏囨媥徧扁片犏篇翩鍂鶣𢉞𢐃𧡤𨲜
pian2,40,㛹㼐䮁便平徧扁楄楩璸緶缏胼腁萹蝙褊諚諞谝賆跰蹁辯駢騈骈骿𠐈𠑟𠷊𢕨𦳄𧍲𧱩𨂯𨵸𨸇𪘀𪚏
pian3,5,覑諞谝貵𡎚
pian4,10,㸤䏒片猵辨騗騙骗魸𠯯
piao1,30,剽嘌彯慓摽旚漂犥瞟票縹缥翲螵謤飃飄飘驫魒𠷻𡢱𡣋𧌠𧽤𨮬𩗏𩙒𪅃𪋖
piao2,12,㼼䕯䴩剽嫖朴瓢薸闝𣝐𨝓𩡦
piao3,22,㩠㵱㹾彯殍漂皫瞟篻縹缥膘莩蔈醥顠麃𣋳𦭼𩛞𩮳𪅃
piao4,23,㬓䏇僄剽勡嘌嫖彯徱慓漂潎瞟票飃驃骠髟𣳭𩄷𩙒𩮳𪏫
pie1,16,撆撇暼氕潎瞥蔽覕𠟈𠢪𢳂𦒐𦗥𩓼𩠿𩮳
pie3,6,䥕丿撇苤鐅𬭯
pie4,2,嫳𤮕
pin1,15,㡦䎙姘拚拼砏礗穦馪驞𢣐𢬵𢶳𥖶𩰗
pin2,29,㰋㺍嚬姘娦嫔嬪玭琕矉薲蘋蠙貧贫頻顰频颦𠐺𡛞𦇖𧔪𧭹𧮝𨏞𨽗𩕵𬞟
pin3,4,品榀𠮰𥑓
pin4,7,匕娉汖泵牝聘𣎳
ping1,22,䛣乒俜堋娉涄甹砯砰竮聠艵頩𢖊𥪁𥭢𦀔𦥚𦥤𨂲𩈚𩩍
ping2,68,㵗㺸㻂䈂䍈䓑䶄倗冯凭凴呯坪塀屏屛岼帡帲幈平慿憑枰檘泙洴淜焩玶瓶甁硑秤箳簈缾胓苹荓萍蓱蘋蚲蛢評评軿輧郱鉼馮鮃鲆𠗦𡊞𢆟𤭔𤳊𥵪𦚓𦶊𧂋𧏑𩂾𪋋𪔾𪕒
ping3,1,頩
ping4,4,䀻聘𠗥𡊞
po1,42,㗶㧊䍨䥽坡岥朴泊泺泼溌潑濼翍跛酦醱釙鉕鏺钋陂頗颇𠰼𠷑𡊟𢂤𣎵𤀪𤽌𥬒𦫔𧘟𧙅𨠓𨡩𨫁𨸭𩑼𩸿
po2,21,㨇㩯䋣嘙婆巿搫櫇番皤繁蔢謈鄱𡼃𢱨𦃡𧂉𨅅𩑻𩕏
po3,20,剖叵尀笸鉕钷頗颇駊𠰐𠵳𡶆𡽠𣲳𤝯𤱍𥹖𧿽𨆵𩢘
po4,68,㛘㤕䄸䎅䎊䞟䣪䣮䨰䪖䪙䯙哱奤尃屰岶廹敀昢朴泊洦溥烞猼珀皛破砶粕膊蒪迫酦醗醱釙霸頗馞髆魄𠾌𢶉𣍸𣬚𤖼𥄔𥗟𥵜𦍁𦐦𦑀𦑵𦒟𦥭𦥲𦾕𦿍𧴤𧻙𨂩𨍭𨑝𩊀𩒕𩔈
po5,1,桲
pou1,7,䬌剖吥娝捊𦵿𧠾
pou2,19,㧵㩠䎧䯽垺抔抙捊掊涪箁裒襃錇𢒷𦥑𦺎𩔻𩚭
pou3,16,㕻㰴䯽䳝咅哣培堷婄抱掊棓犃瓿部𠟌
pou4,1,踣
pu1,39,䮒䲕䴆仆僕剥卜噗扑抪撲擈攴攵朴柨潽炇痡砲秿豧鋪铺陠鯆鵏𡜵𢼹𤆝𤾣𥼜𦬙𧭎𧱹𨁏𪒢𪔿𫚙
pu2,55,㒒㯷㲫㺪䈬䈻䑑䔕䗱䧤䴆仆僕匍圤墣扶捗樸濮獛璞瞨穙箁纀脯苻荹莆菐菩葡蒱蒲蜅襆贌酺鏷镤鵏𡰿𢈲𤗵𤰑𥐁𥣈𦮑𨛥𨽂𩪛𩯱𪋡𪖈
pu3,26,㹒䗱圃圑埔普暜朴樸檏氆浦溥潽烳甫諩譜谱蹼鐠镨𠽾𥐚𥛟𩑀
pu4,15,㬥䗱堡暴曝瀑痡舖舗鋪铺𣋏𧙛𧦞𩂗
pu5,2,巬巭
qi1,102,㠌㥓㩻㬤㱦䗁䗩䣀䣛䥓䥢䫏䫑䳶七倛傶僛凄吃喰嘁妻娸宿恓悽慼慽戚捿攲朞期柒栖桤桼棲榿槭欺沏淒溪漆碕磎磜紪緀緝缉萋蛣螇褄諆諿踦蹊迉郪鏚霋魌鶈鸂𠀁𠎰𠐾𠔶𡖾𡫁𢦽𢴰𢻪𣉓𣏶𣛺𣶠𤘌𤳃𤳤𥇚𥉐𥉷𥖫𥤥𦖊𦸓𧋉𧒕𧕉𧠪𨞢𩒛𩺲𪄭𪅾𪒆𪒑
qi2,218,㖢㟓㟚㟢㩽㩾㯦㰗䄢䅩䅲䉻䐡䑴䓅䓫䞚䟚䡋䧵䩓䭶䭼䰇䱈䲬䳢䶒䶞七丌亓亝伎俟倛其剘勤圻埼奇岐岓崎嵜帺幾忮忯愭懠扺技抵掑支斉斊旂旗枝棊棋檱櫀歧淇濝濟猉玂琦琪璂畦畸疧碁碕示祁祇祈祺禥禨稘竒簱籏粸綥綦綨纃耆肵脐臍艩芪荠萁萕蕲薺藄蘄蚑蚔蚚蛴蜝蜞螧蟣蠐衹褀觭跂踑軙軝逗鄿釮錡鐖锜隑頎颀饑騎騏騹骐骑鬐鬾鬿鮨鯕鰭鲯鳍鵸鶀麒麡齊齐𠁭𠅚𠓪𠫸𡦍𡪵𡹉𡺸𢁒𢍁𢍑𢩡𢺷𢻋𢻚𢾦𢾪𣯆𤪌𤷍𤹸𤿡𥉙𥼘𦔌𦫡𦭲𦮼𦸗𧌞𧎪𧓑𧡺𧯯𧰙𨉸𨙸𨥦𨪌𨱜𨵎𨸒𨸔𨾛𩉬𩥂𩦋𩨝𩲪𩳣𩴪𩷾𩸞𩹵𪀩𪂛𪄖𪗅𪗆𪗍𪗏𪙧𬨂𬮿
qi3,70,㒅㠱㫓㾨䄎䄫䋯䎢䏿䒻䔇䛴䡔䭫䭬乞企启呇唘啓啔啟婍屺岂崎己敧晵杞梩棨气玘盀碕稽綮綺绮芑袳裿觭諬豈起跂邔闙齮𠧒𠴩𡵒𡷞𡹘𡺓𢺵𥔩𥫟𦄊𦸆𧘗𧙾𧼘𨙬𩒨𩠦𩠨
qi4,164,㞓㞚㣬㮑㰟㼮䀙䁈䁉䅤䇍䌌䏅䏌䏠䒗䔾䙄䚉䚍䟄䟷䢀䥛䩯䫔䬣䯥䰴乞亟伎倛偈切刺吱呮咠唭噐器夡契妻弃忔忾恝悽愒愾憇憩扢扱挈揭摖暣栔棄欫气気氣汔汽泣洓湆湇滊漬炁焏甈甭盵矵砌碛碶磜磧磩礘絜綦緝罊肐舙芞葺薺蟿訖讫趞趿跂踖躩迄鼜𠊔𠴹𡍪𡎫𡢖𡱔𡹓𡹩𡻧𡻰𡽼𢍆𢔆𢔠𢜱𢞒𢢖𢢞𢺵𣔘𣪠𣫱𣾤𤺗𤼅𥀻𥄜𥉻𥌁𥓾𥷇𥽳𦈦𦘸𦙊𦚊𦛰𦡹𦧉𦧯𦩣𦪊𧇜𧘧𧙞𧚨𧡘𧻕𧼕𧽓𨁐𨊰𨑤𨒅𨵆𩧌𩨘𪔪
qi5,3,簯緕缼
qia1,18,㤉㧎䶗佉愘抲掐揢搳擖葜袷𠜼𠝛𡤫𢮌𣘟𣣟
qia2,3,䠍拤𡘧
qia3,7,䶗價卡峠跒酠鞐
qia4,53,㓞㓣㓤㡊㮫䁍䂒䈓䛩䨐䯊䶝冾咭圶客帢恰愘挈楬殎洽疴矻硈磍絜髂鮚𠕣𠜤𠝘𠳌𢼣𣁴𣨄𤫶𤵹𥇌𥉰𥎸𥦞𥴭𦝣𦸉𧩶𩥌𩩱𩮁𩷻𪘺𫈰
qian1,138,㗔㡨㢛㥶㩃㩷㪠䀒䇂䉦䞿䫡仟佥僉兛千厱嗛圱圲奷婜孅孯寨岍幵忏悭愆慳扦拪掔揃搴摼撁攐攑攓杄杴檶櫏欦汘汧熑牵牽瓩磏竏签箞簽籤粁縴羥臤芊茾藖蚈褰諐謙谦谸迁遷釺鈆鉛鋟鐱鑯钎铅開阡雃韆顅騫骞鬜鬝鳽鵮鶼鹐𠑲𠔺𠠃𠬾𢃥𢋔𢌍𢍱𢜩𢧥𣘝𣟋𣢬𣢲𤠿𤿷𥏥𥜴𥡝𥱺𥲢𦖎𦢙𧘜𧛓𧟑𧢞𧮮𧲀𧽐𨐋𨐩𨓲𨝍𨦄𨨘𩋆𩑟𩦊𩨓𩪢𪇇𪉻
qian2,97,㓺㦮㨜㩮㪁㸫䁮䅾䈤䐶䕭䖍乾仱偂前墘媊岒忴扲拑掮揵撍朁柑榩橬欦歬涔湔漸潛潜濳灊灒煔燂燖犍玪筋箝羬腱荨葥葴蕁虔蚙赶軡鈐鉆鉗銭錢鍼钤钱钳靬馯騚騝鰬黔黚𠀼𠢍𠷁𢁮𣖳𥔮𥮒𥴤𥷪𦂒𦴑𦼓𧃑𧣑𨜻𨥞𨱫𨺩𨽨𩎖𩨃𩨊𩬚𪈇𪑙
qian3,47,㦿㧄㹂䇜䤘䭤凵唊嗛嵰忏慊撖槏歁浅淺繾缱肷脥膁蜸譴谴遣鑓顩齦𠊭𠋵𠳋𡒌𢮄𣍰𣓅𥦃𥧬𥳐𦅋𧥛𧪯𨗦𨺫𩑳𩒣𪘦
qian4,66,㐸㜞㟻㪁㪠㯠䇜䈴䊴䑶䥅䦲䪈䫡䭑䵖䵛伣俔倩傔儙刋嗛堑塹壍嬱嵌廞悓慊撁棈椠槧欠欿歉淒牽皘篏篟綪縴纤艌芊芡茜蒨蔳輤遣錎鰜𢂺𢃘𣢖𣹥𤬯𧚫𧮽𨰂𬘬
qian5,3,籖鎆鏲
qiang1,68,㳾㾤䤌創呛哐啌嗆嗴将將嶈慶戕戗戧抢控搶斨枪椌槍溬牄猐獇玱瑲矼箐篬羌羗羫腔蜣謒跄跫蹌蹡錆鎗鏘鏹锖锵镪鶬𡬎𡺛𢈵𣫝𦯤𦳟𧇞𧱡𧽩𨄚𨶆𩚕𩣼𩩝𩿄𪁸𪎞𪙎
qiang2,28,㩖丬墙墻嫱嬙廧強强彊樯檣漒爿牆艢蔃蔷薔蘠𡠥𡸤𢏄𢧅𤕽𧖑𧭚𩼒
qiang3,21,㛨㱿勥墏強强彊抢搶槍繈繦羟羥襁鏹镪𢐩𥇉𥓌𥶑
qiang4,18,䵁呛唴嗆戗戧搶摪炝熗羻跄蹌蹡鎗𠼢𥴻𦷦
qiao1,84,㡑㤍㪣㺒䂭䦒䫞䯨䵲劁喿塙墝墽嵪幓幧悄搞摮敫敲校橇橋橾毃毳燆硗碻磝磽礉窯繑繰缲蕉趬跤跷踍蹺蹻郻鄗鄡鄥銚鍫鍬鏒鐰锹雀鞽頝骹𠏖𡌔𡩇𢄹𢐟𢮉𢻤𢿣𣂁𣂇𣂥𣖄𣜽𣟼𣦜𤴀𥉾𥟅𦅃𨃤𨜑𨞶𩖇𩨟𫏋
qiao2,58,㝯䀉䎗䚩䩌䱁乔侨僑劁喬嘺墧嫶峤嶠憔招桥槗樵橋潐焦燋犞癄睄瞧硚礄翘翹荍荞菬蕉蕎藮蟜譙谯趫醮鐈鞒鞽顦驕𡰑𢘟𢻤𣯹𥁢𥪯𧄍𨅣𨝱
qiao3,18,㚽㤍䂪䲾丂巧悄愀愁磽釥雀髜𡺘𢩨𥹶𦢺𨸑
qiao4,56,㚁㢗㴥䃝䆻䇌俏偢僺削嘺噭墝墽壳峭帩悄捎撬撽殻殼硝磽礉窍竅箾翘翹茭誚譑譙诮谯踃蹺躈陗鞘鞩韒顤髚𠿕𡰐𢶡𣒆𣹝𣺰𥀣𧣌𨜍𪑊
qie1,7,㛗切脞苆𠋧𡛠𥕑
qie2,10,㚗䠍䦧伽癿聺茄𡘍𡶐𨚧
qie3,3,且跙𠀃
